Latitude,Longitude,Altitude,temp,pressure,wind_speed,clouds_all,Wind_Sin,Wind_Cos
41.38166,28.07312,14409.903,279.07224,1009.2616,1.6005002,90.970116,0.15617813,0.38476378
41.37597,28.09574,14045.808,279.14844,1009.2168,1.6060976,90.75597,0.15341742,0.38224655
41.37061,28.118216,13680.232,279.22635,1009.171,1.6117369,90.53657,0.15062426,0.3796665
41.365585,28.140528,13313.553,279.3059,1009.12427,1.6174165,90.312065,0.14780198,0.37702397
41.360912,28.16265,12946.167,279.38705,1009.07654,1.6231352,90.082634,0.14495389,0.3743195
41.356598,28.184557,12578.499,279.46973,1009.0278,1.6288913,89.84843,0.14208366,0.37155375
41.35265,28.206224,12210.962,279.5538,1008.97797,1.6346823,89.60966,0.13919504,0.36872748
41.34907,28.227633,11843.992,279.63925,1008.9272,1.6405059,89.36652,0.13629206,0.36584142
41.34587,28.24875,11478.018,279.72595,1008.8753,1.6463596,89.11923,0.13337897,0.3628966
41.343052,28.269556,11113.481,279.8138,1008.8223,1.6522409,88.86802,0.13045995,0.3598939
41.340614,28.290031,10750.81,279.90274,1008.7683,1.6581465,88.61312,0.12753926,0.35683432
41.338562,28.310152,10390.44,279.99268,1008.7132,1.6640736,88.35477,0.124621525,0.35371897
41.33689,28.329899,10032.796,280.08347,1008.6569,1.6700186,88.093216,0.12171118,0.3505489
41.335598,28.349253,9678.294,280.17508,1008.5996,1.6759773,87.828705,0.118812844,0.3473252
41.334682,28.36819,9327.331,280.26733,1008.5411,1.6819469,87.56149,0.11593075,0.3440492
41.334137,28.3867,8980.304,280.3602,1008.4815,1.6879233,87.291824,0.11306976,0.3407219
41.333954,28.404764,8637.579,280.45358,1008.4207,1.6939017,87.01994,0.110234156,0.3373444
41.33412,28.422369,8299.515,280.54733,1008.35876,1.6998793,86.7461,0.10742842,0.3339179
41.33464,28.439503,7966.4404,280.64142,1008.2957,1.7058505,86.470535,0.10465683,0.3304433
41.335487,28.456152,7638.667,280.73572,1008.23145,1.7118117,86.19347,0.1019236,0.3269218
41.336655,28.472313,7316.491,280.83014,1008.166,1.7177583,85.91512,0.099232644,0.3233544
41.338127,28.487968,7000.171,280.92462,1008.0994,1.7236856,85.635704,0.096588254,0.31974196
41.33989,28.503124,6689.9463,281.01907,1008.0317,1.7295905,85.35542,0.09399392,0.31608546
41.34193,28.517769,6386.038,281.11346,1007.9628,1.7354678,85.074455,0.09145333,0.3123857
41.344227,28.531898,6088.634,281.20767,1007.89276,1.7413133,84.792984,0.08896978,0.30864355
41.346767,28.545517,5797.907,281.30167,1007.82153,1.7471234,84.511154,0.0865466,0.30485967
41.349533,28.558617,5513.9893,281.39536,1007.7492,1.7528938,84.22912,0.08418694,0.3010349
41.3525,28.571205,5237.001,281.4887,1007.6757,1.7586206,83.947,0.08189356,0.2971699
41.35566,28.583282,4967.04,281.5817,1007.6012,1.7643007,83.66491,0.07966888,0.29326537
41.358986,28.59485,4704.1787,281.67426,1007.5255,1.7699293,83.38294,0.07751542,0.28932187
41.362465,28.60592,4448.466,281.76633,1007.4488,1.775504,83.101204,0.075435415,0.28533995
41.366077,28.616491,4199.9365,281.85788,1007.37103,1.7810212,82.81973,0.07343079,0.28132036
41.3698,28.626574,3958.5986,281.94894,1007.2923,1.7864789,82.53859,0.07150321,0.2772635
41.373623,28.636173,3724.4482,282.0394,1007.2125,1.7918733,82.25783,0.069654405,0.27317008
41.377525,28.645306,3497.462,282.1293,1007.1318,1.7972027,81.97745,0.06788559,0.26904044
41.381493,28.65397,3277.6006,282.2186,1007.0501,1.8024648,81.69748,0.06619787,0.2648754
41.3855,28.662188,3064.8154,282.30728,1006.9676,1.8076571,81.41791,0.06459235,0.26067543
41.389545,28.66996,2859.038,282.39532,1006.8842,1.8127784,81.13874,0.06306967,0.25644097
41.393604,28.677303,2660.1904,282.48273,1006.8,1.8178266,80.85993,0.061630398,0.2521727
41.397663,28.68423,2468.1904,282.5695,1006.715,1.822801,80.58146,0.060275003,0.24787119
41.40171,28.69075,2282.9365,282.6556,1006.62933,1.8277003,80.303276,0.059003785,0.24353716
41.40573,28.696878,2104.3232,282.74106,1006.54297,1.8325235,80.02534,0.057816654,0.23917145
41.409714,28.702623,1932.2374,282.82587,1006.456,1.8372701,79.747574,0.056713477,0.23477444
41.413647,28.708,1766.5597,282.91003,1006.3684,1.8419393,79.46991,0.055694,0.23034719
41.417522,28.713024,1607.1652,282.99356,1006.2803,1.8465313,79.19229,0.054757744,0.22589052
41.42133,28.717705,1453.923,283.07645,1006.19165,1.851046,78.91462,0.053904235,0.22140506
41.425056,28.72206,1306.7023,283.15872,1006.1026,1.8554834,78.63682,0.053132772,0.2168917
41.428696,28.726097,1165.3566,283.24036,1006.0132,1.8598441,78.358795,0.052442595,0.21235146
41.432243,28.729832,1029.7472,283.32135,1005.9234,1.8641273,78.08046,0.051832825,0.2077851
41.435684,28.73328,899.73737,283.4018,1005.8334,1.8683351,77.80171,0.051302135,0.20319386
41.439022,28.736448,775.1788,283.4816,1005.7431,1.8724672,77.52245,0.050849617,0.19857861
41.44225,28.739355,655.9268,283.56085,1005.65265,1.8765255,77.242584,0.050473854,0.19394049
41.445354,28.742008,541.835,283.63953,1005.56213,1.8805104,76.962006,0.05017358,0.18928057
41.44834,28.744423,432.75494,283.71765,1005.4715,1.8844234,76.68061,0.04994738,0.18459989
41.4512,28.74661,328.53815,283.79526,1005.3808,1.8882655,76.3983,0.049793765,0.17989992
41.453934,28.74858,229.04793,283.8723,1005.29016,1.8920382,76.11496,0.04971108,0.17518148
41.45653,28.75035,134.12996,283.94885,1005.19965,1.895743,75.83049,0.049697697,0.17044598
41.459003,28.751926,43.63972,284.02487,1005.1092,1.899382,75.54479,0.049751848,0.16569462
